,alkane_carbon_number,antoine_a,antoine_b,antoine_c,molecular_weight,critical_pressure,critical_temperature,accentric_factor,critical_compressibility,relative_density,normal_boiling_point,twu_l,twu_m,twu_n,volume_shift
Hydrogen Sulfide,0,16.104,1768.69,-26.06,34.0809,89.36865,373.2,0.1,0.284,0.79886,212.87,0.897091704,0.956503262,0.555633535,-0.1288
Nitrogen,0,14.9342,588.72,-6.6,28.0134,33.943875,126.2,0.04,0.29,0.80687,77.34,0.127192189,0.891188981,1.997276644,-0.1927
Carbon Dioxide,0,22.5898,3103.39,-0.16,44.0095,73.7646,304.2,0.225,0.274,0.81716,316.04,0.64606792,0.827942676,0.957675703,-0.0817
Methane,1,15.2243,897.84,-7.16,16.0425,46.00155,190.6,0.008,0.288,0.3,111.65,0.15282401,0.909319677,1.805638307,-0.1595
Ethane,2,15.6637,1511.42,-17.16,30.069,48.83865,305.4,0.098,0.285,0.35628,184.46,0.49386192,0.883978865,0.922381904,-0.1134
Propane,3,15.726,1872.46,-25.16,44.0956,42.455175,369.8,0.152,0.281,0.50719,213.01,0.813733572,0.929511022,0.683735841,-0.0863
Isobutane,0,15.5381,2032.73,-33.15,58.1222,36.477,408.1,0.176,0.283,0.56283,272.7,1.112108969,0.99911847,0.543987413,-0.0844
n-Butane,4,15.6782,2154.9,-34.42,58.1222,37.996875,425.2,0.193,0.274,0.5842,272.7,0.465153323,0.847493295,1.201037616,-0.0675
Isopentane,0,15.6338,2348.67,-40.05,72.1488,33.8,461.1,0.227,0.271,0.62154,301.1,0.907032878,0.876373247,0.708696747,-0.0608
n-Pentane,5,15.8333,2477.07,-39.94,72.1488,33.741225,469.6,0.251,0.262,0.63071,309.2,0.795756157,0.87937146,0.863656793,-0.0309
n-Hexane,6,15.8366,2697.55,-48.78,86.1754,29.688225,507.4,0.296,0.26,0.66406,341.9,0.623166886,0.831835883,1.134875407,-0.008
n-Heptane,7,15.8737,2911.32,-56.51,100.2019,27.35775,540.2,0.351,0.263,0.67781,371.5,0.570752255,0.814692229,1.301566247,0.0033
n-Octane,8,15.9426,3120.29,-63.63,114.2285,24.824625,568.8,0.394,0.259,0.69852,398.7,0.351757574,0.824878278,2.054953501,0.0314
n-Nonane,9,15.9671,3291.45,-71.33,128.2551,23.1021,594.6,0.444,0.26,0.72505,423.8,0.536673463,0.804173092,1.574822123,0.0408
n-Decane,10,16.0114,3456.8,-78.67,142.2817,21.0756,617.6,0.49,0.247,0.73458,447.2,0.537340808,0.798957907,1.641583713,0.0655
Benzene,0,15.9008,2788.51,-52.36,78.1118,48.939975,562.1,0.212,0.271,0.88444,353.3,0.181395259,0.824166031,2.062125558,
Toluene,0,16.0137,3096.52,-53.67,92.1384,41.13795,591.7,0.257,0.264,0.87234,383.8,0.584919202,0.819980587,1.093842237,
Xylenes,0,16.1156,3395.57,-59.46,106.165,37.2876,630.2,0.314,0.263,0.8693,411.4,0.559173881,0.831454501,1.298679882,
Cyclohexane,0,15.7527,2766.63,-50.5,84.1595,40.73265,553.4,0.213,0.273,0.78362,353.9,0.590623644,0.816456968,0.981442254,
C11,11,,,,156.312,24,651.38,0.4291,,0.74471,469.15,0.344983224411555,0.83816109572951,2.7501595024399,
C12,12,,,,170.338,22.7,671.99,0.4748,,0.75354,489.35,0.534073104687175,0.793452474794912,1.82615244947397,
C13,13,,,,184.365,21.7,690.42,0.5187,,0.76074,507.15,0.382704147680937,0.833041116685425,2.84436963785583,
C14,14,,,,198.392,20.8,708.58,0.5657,,0.76756,526.15,0.531099820777858,0.796152811925907,2.04824926468233,
C15,15,,,,212.419,20,726.47,0.6162,,0.77257,542.15,0.615631919776729,0.78895373028549,1.89947449034129,
C16,16,,,,226.45,19.3,743.01,0.6674,,0.773,560.15,0.463821893966068,0.809869391788459,2.55400084108688,
C17,17,,,,240.47,18.8,757.66,0.7162,,0.777,575.15,0.621973511907285,0.78476887547358,1.98550675155449,
C18,18,,,,254.5,18.5,769.63,0.7585,,0.777,590.15,0.676991820890744,0.78408724608436,1.92334047496013,
C19,19,,,,268.53,18.2,780.5,0.7996,,0.786,603.15,0.840481903536759,0.794076039726056,1.69474148694719,
C20,20,,,,282.55,17.8,792.72,0.8494,,0.7886,615.85,1.39379196103638,0.977288063153364,1.1164379025577,
C21,21,,,,296.58,17.5,803.29,0.8948,,0.792,629.65,0.539007299008562,0.823504020190339,2.76920359494592,
C22,22,,,,310.61,17.2,814.33,0.9455,,0.778,641.4,0.659320999095432,0.815828458736381,2.3870857538374,
C23,23,,,,324.63,16.9,823.68,0.9907,,0.797,653.15,0.362403055544468,0.800136916421863,3.59012180283854,
C24,24,,,,338.66,16.7,833.04,1.0384,,0.797,664.45,1.1794008715792,0.909534039382248,1.5283748899625,
C25,25,,,,352.69,16.4,843.13,1.0926,,0.801,675.05,0.599701720926138,0.828550245099464,2.93214424330666,
C26,26,,,,366.71,16.3,851.57,1.1405,,0.778,685.35,0.739765925938978,0.848207960868263,2.57801094670788,
C27,27,,,,380.74,16.1,859.84,0.9864,,0.78,695.15,0.979318206429026,0.84980318011228,1.85764699306254,
C28,28,,,,394.77,15.9,868.03,1.0118,,0.807,704.75,0.594966931633056,0.792643295331375,2.94544936106336,
C29,29,,,,408.8,15.9,874.75,1.0314,,0.808,713.95,1.84293433400309,0.997450075548184,0.974483877877324,
C30,30,,,,422.82,15.7,882.83,1.0567,,0.81,722.85,0.544029415466881,0.696748166967461,2.541259959255,
C31,31,,,,436.85,15.6,890.14,1.0791,,0.81,731.15,0.368786297400507,0.784552611687607,4.01901170644684,
C32,32,,,,450.86644,15.5,897.4,1.1015,,0.8124,,0.793951287263584,0.793340951284295,2.40036655588473,
C33,33,,,,464.89302,15.5,903.92,1.121,,0.811636271922234,,0.562623126484473,0.805915577158797,3.44084749346624,
C34,34,,,,478.9196,15.4,910.32,1.1407,,0.812743941806453,,0.611818010733206,0.796212392410922,3.17783463233996,
C35,35,,,,492.94618,15.3,915.98,1.1576,,0.813806387849758,,0.489310384856555,0.792728722170151,3.8030149591849,
C36,36,,,,506.97276,15.2,922.22,1.1775,,0.814827158441569,,0.462547307891567,0.788095167626296,3.96033382133444,
C37,37,,,,520.99934,15.3,927.14,1.1916,,0.815809400064244,,0.508330180664562,0.791836234923142,3.8468608848335,
C38,38,,,,535.02592,15.1,933.33,1.2114,,0.816755915787147,,,,,
C39,39,,,,549.0525,15.2,938.2,1.2254,,0.817669213491632,,,,,
C40,40,,,,563.07908,15.1,944.4,1.2449,,0.818551545917154,,,,,
C41,41,,,,577.10566,15.2,948.47,1.2563,,0.819404944138588,,,,,
C42,42,,,,591.13,15.1,953.19,1.2705,,0.819000437366693,,,,,
C43,43,,,,605.15,15.1,957.9,1.2846,,0.820000239652983,,,,,
C44,44,,,,619.18,15,963.93,1.3042,,0.820000239652983,,,,,
C45,45,,,,633.21,16.2,980.35,1.3388,,0.821000431375368,,,,,
