i,j,Aij,Aji
1,2,86.02,-35.36
1,3,61.13,-11.12
1,4,76.5,-69.7
1,5,986.5,156.4
1,6,674.8,50.155
1,7,1318,300
1,8,1333,275.8
1,9,476.4,26.76
1,10,677,505.7
1,11,232.1,114.8
1,12,507,329.3
1,13,251.5,83.36
1,14,391.5,-30.48
1,15,255.7,65.33
1,16,206.6,-83.98
1,17,920.7,1139
1,18,287.77,-101.56
1,19,597,24.82
1,20,663.5,315.3
1,21,35.93,91.46
1,22,53.76,34.01
1,23,24.9,36.7
1,24,104.3,-78.45
1,25,11.44,106.8
1,26,661.5,-32.69
1,27,543,5541
1,28,-54.433,180.28
1,29,287.38,-61.863
1,30,354.55,-25.31
1,31,3025,139.93
1,32,335.8,128
1,33,479.5,-31.52
1,34,27.139,4518.2998
1,35,526.5,50.49
1,36,689,-165.9
1,37,-4.189,47.41
1,38,125.8,-5.132
1,39,485.3,-31.95
1,40,-2.859,147.3
1,41,387.1,529
1,42,-450.4,-34.36
1,43,252.7,110.2
1,44,220.3,13.89
1,45,-5.869,30.74
1,46,390.9,27.97
1,47,553.3,-11.92
1,48,298.62,-57.788
1,49,216.1,-23.61
1,50,92.99,-8.479
1,51,591.04,-102.09
1,55,2054.3,1243.9
1,56,919.8,-38.672
1,57,-39.101,68.141
1,58,-19.628,104.28
1,59,120,-145
1,60,271.12,3.7506
1,61,893.01,742.31
1,62,613.3,315.96
1,63,-78.389,165.81
1,65,481.7,105.3
1,66,270.9,-178.5
1,67,205.51,7.1644
1,68,172.9,27.87
1,69,558,78.06
1,70,10.94,102.35
1,71,-24.42,22.15
1,72,-29.86,30.14
1,74,-123.4,504.1
1,75,54.02,35.64
1,76,-88.341,274.74
1,77,270.32,-171.06
1,79,678.27,-284.66
1,83,184.05,12.039
1,85,562.89,-134.73
2,3,38.81,3.446
2,4,74.15,-113.6
2,5,524.1,457
2,6,787.6,-12.52
2,7,270.6,496.1
2,8,526.1,217.5
2,9,182.6,42.92
2,10,448.75,56.3
2,11,37.85,132.1
2,12,333.5,110.4
2,13,214.5,26.51
2,14,240.9,1.163
2,15,163.9,-28.7
2,16,61.11,-25.38
2,17,749.3,2000
2,18,280.5,-47.63
2,19,336.9,-40.62
2,20,318.9,1264
2,21,-36.87,40.25
2,22,58.55,-23.5
2,23,-13.99,51.06
2,24,-109.7,160.9
2,25,100.1,70.32
2,26,357.5,-1.996
2,28,76.3,16.623
2,29,281.67,-74.469
2,30,262.9,82.64
2,33,183.8,174.6
2,34,74.051,211.88
2,35,179,64.07
2,36,-52.87,573
2,37,-66.46,124.2
2,38,359.3,-131.7
2,39,-70.45,249
2,40,449.4,62.4
2,41,48.33,1397
2,44,86.46,-16.11
2,46,200.2,9.755
2,47,268.1,132.4
2,48,224.31,-62.736
2,49,62.56,161.1
2,51,282.09,-68.78
2,55,2287.5,2381.1001
2,56,-52.107,148.57
2,57,38.602,18.78
2,59,406.8,38.76
2,60,-231.09,667.1
2,62,585,399.44
2,63,-241.56,-364.32
2,65,405.7,-1136
2,67,330.7,-152
2,69,465.5,116.2
2,71,63.78,69.48
2,72,16.35,-5.815
2,83,372.06,497.34
3,4,167,-146.8
3,5,636.1,89.6
3,6,1500.1,-305.9
3,7,903.8,362.3
3,8,1329,25.34
3,9,25.77,140.1
3,10,347.3,23.39
3,11,5.994,85.84
3,12,287.1,18.12
3,13,32.14,52.13
3,14,161.7,-44.85
3,15,122.8,-22.31
3,16,90.49,-223.9
3,17,648.2,247.5
3,18,-4.449,31.87
3,19,212.5,-22.97
3,20,537.4,62.32
3,21,-18.81,4.68
3,22,-144.4,121.3
3,23,-231.9,288.5
3,24,3,-4.7
3,25,187,-97.27
3,26,168.04,10.38
3,27,194.9,1824
3,28,52.068,21.497
3,29,-10.43,28.41
3,30,-64.69,157.29
3,31,210.366,221.4
3,32,113.3,58.68
3,33,261.3,-154.2
3,34,406.59,-117.14
3,35,169.9,-2.504
3,36,383.9,-123.6
3,37,-259.1,395.8
3,38,389.3,-237.2
3,39,245.6,-133.9
3,40,22.67,140.6
3,41,103.5,317.6
3,42,-432.3,787.9
3,43,238.9,234.4
3,44,30.04,-23.88
3,45,-88.11,167.9
3,47,333.3,-86.88
3,49,-59.58,142.9
3,50,-39.16,23.93
3,51,35.973,70.567
3,55,998.74,534.6
3,56,219.25,-29.4
3,57,131.51,-65.123
3,58,285.26,-0.6989
3,59,322.7,-133.4
3,60,309.59,58.687
3,61,49.132,-98.107
3,62,734.87,16.884
3,63,680.05,-252.61
3,65,30.72,65.28
3,67,301.7,87.12
3,69,678.4,-46.77
3,74,-59.15,-127
3,75,-70.13,-131.4
3,76,115.8,-135.7
3,83,87.262,3329.2
4,5,803.2,25.82
4,6,603.25,-44.5
4,7,5695,377.6
4,8,884.9,244.2
4,9,-52.1,365.8
4,10,586.8,106
4,11,5688,-170
4,12,197.8,428
4,13,213.1,65.69
4,14,19.02,296.4
4,15,-49.29,223
4,16,23.5,109.9
4,17,664.2,762.8
4,18,52.8,49.8
4,19,6096,-138.4
4,20,872.3,89.86
4,21,-114.14,122.91
4,22,-111,140.78
4,23,-80.25,69.9
4,24,-141.3,134.7
4,25,-211,402.5
4,26,3629,-97.05
4,27,4448,-127.8
4,28,-9.451,40.675
4,29,393.6,19.56
4,30,48.49,128.8
4,31,4975,150.64
4,32,259,26.41
4,33,210,1112
4,34,-147.47,774.87
4,35,4284,-143.2
4,36,-119.2,397.4
4,37,-282.5,419.1
4,38,101.4,-157.3
4,39,5629,-240.2
4,41,69.26,615.8
4,44,46.38,6.214
4,47,421.9,-19.45
4,49,-203.6,274.1
4,50,184.9,2.845
4,51,4.6162,1475.9
4,55,594.75,432.46
4,56,296.88,249.32
4,57,37.876,5.5762
4,58,130.37,384.98
4,60,-303.76,406.32
4,61,23.158,40.011
4,62,320,126.44
4,63,348.35,-16.621
4,65,-187.6,284.6
4,67,-70.5,139.8
4,69,411.5,-156.9
4,74,50.8,-204.7
4,75,-58.42,-74.1
4,76,220.72,-179.19
4,83,3339.6001,-68.983
5,6,-137.1,249.1
5,7,353.5,-229.1
5,8,-259.7,-451.6
5,9,84,164.5
5,10,-203.6,529
5,11,101.1,245.4
5,12,267.8,139.4
5,13,28.06,237.7
5,14,8.642,-242.8
5,15,42.7,-150
5,16,-323,28.6
5,17,-52.39,-17.4
5,18,170.029,-132.3
5,19,6.712,185.4
5,20,199,-151
5,21,75.62,562.2
5,22,65.28,527.6
5,23,-98.12,742.1
5,24,143.1,856.3
5,25,123.5,325.7
5,26,256.5,261.6
5,27,157.1,561.6
5,28,488.9,609.8
5,29,147.5,461.6
5,30,-120.46,521.63
5,31,-318.93,267.6
5,32,313.5,501.3
5,33,202.1,524.9
5,34,727.8,68.95
5,35,-202.1,-25.87
5,36,74.27,389.3
5,37,225.8,738.9
5,38,44.78,649.7
5,39,-143.9,64.16
5,41,190.3,88.63
5,42,-817.7,1913
5,44,-504.2,796.9
5,45,72.96,794.4
5,46,-382.7,394.8
5,47,-248.3,517.5
5,49,104.7,-61.2
5,50,57.65,682.5
5,51,217.22,1210
5,55,-252.04,-245.9
5,56,510.64,148.16
5,57,671.69,516.17
5,58,2018.6,382.59
5,59,-568.2,223.6
5,60,589.2,2836.8999
5,61,-111.34,3156
5,62,2847.3999,2357.2
5,63,2138.3999,505.73
5,65,436,-231.6
5,69,3222.5,3694.7
5,72,470.09,559.06
5,74,-1058,-1455
5,83,4479.7998,4760.2998
6,7,-180.95,289.6
6,8,-101.7,-265.2
6,9,23.39,108.65
6,10,306.42,-340.18
6,11,-10.72,249.63
6,12,179.7,227.8
6,13,-128.6,238.4
6,14,359.3,-481.65
6,15,-20.98,-370.3
6,16,53.9,-406.8
6,17,489.7,-118.1
6,18,580.48,-378.24
6,19,53.28,162.6
6,20,-202,339.8
6,21,-38.32,529
6,22,-102.54,669.9
6,23,-139.35,649.1
6,24,-44.76,709.6
6,25,-28.25,612.8
6,26,75.14,252.56
6,28,-31.09,914.2
6,29,17.5,448.6
6,31,-119.2,240.8
6,32,212.1,431.3
6,33,106.3,494.7
6,34,-189.07,4040.7
6,35,-399.3,695
6,36,-5.224,218.8
6,37,33.47,528
6,38,-48.25,645.9
6,39,-172.4,172.2
6,41,165.7,171
6,45,-52.1,762.7
6,48,37.63,420
6,49,-59.4,-89.24
6,50,-46.01,597.8
6,51,9.5251,196.54
6,55,138.95,-490.47
6,56,-72.04,414.57
6,57,553.56,2534.3999
6,58,1061.4,-516.85
6,59,213.64,-8.5326
6,60,190.24,2389.2
6,61,-33.079,307.19
6,62,250.05,2136.6001
6,63,261.54,231.32
6,65,-352.2,264.2
6,74,-1128,-501.4
6,77,-15.335,609.43
6,81,101.79,-101.54
7,8,324.5,-601.8
7,9,-195.4,472.5
7,10,-116,480.8
7,11,72.87,200.8
7,12,0,0
7,13,540.5,-314.7
7,14,48.89,-330.4
7,15,168,-448.2
7,16,304,-598.8
7,17,243.2,-341.6
7,18,459,-332.9
7,19,112.6,242.8
7,20,-14.09,-66.17
7,21,325.44,698.24
7,22,370.4,708.69
7,23,353.68,826.76
7,24,497.54,1201
7,25,133.9,-274.5
7,26,220.6,417.9
7,27,399.5,360.7
7,28,887.1,1081
7,30,188.026,23.484
7,31,12.72,-137.4
7,34,752,3842.5
7,35,-139,-240
7,36,160.8,386.6
7,39,319,-287.1
7,41,-197.5,284.4
7,42,-363.8,180.2
7,44,-452.2,832.2
7,46,835.6,-509.3
7,47,139.6,-205.7
7,49,407.9,-384.3
7,51,-159.2,767.82
7,55,-655.58,-395.59
7,56,-1163.5,1720.6
7,57,-1573.2,-1149.1
7,58,-2181.8999,-1899.6
7,59,-318.89,200.01
7,60,-3123.3999,1459.6
7,61,724.93,-8.1881
7,62,-1531.6,5564.1001
7,63,-1665.5,-6058.1001
7,65,-745.7,3889
7,67,-2965,4980
7,69,85.79,-1262
7,73,-2832,-1641
7,74,-2197.8,-796.4
7,75,-1026.7,-954.65
7,76,696.36,-1270.5
7,80,525.98,944.1
7,81,261.73,79.524
8,9,-356.1,-133.1
8,10,-271.1,-155.6
8,11,-449.4,-36.72
8,13,-162.8742,-178.5461
8,17,119.9,-253.1
8,18,-305.5,-341.6
8,20,408.9,-11
8,24,1827,10000
8,25,6915,622.3
8,28,8483.5,1421.3
8,31,-687.1,838.4
8,41,-494.2,-167.3
8,44,-659,-234.7
8,50,1005,810.5
8,56,695.7,628.8
8,57,824.71,2290.5
8,60,1503.5,1419
8,62,4027.5,3988.6001
9,10,-37.36,128
9,11,-213.7,372.2
9,12,-190.4,385.4
9,13,-103.6,191.1
9,15,-174.2,394.6
9,16,-169,225.3
9,17,6201,-450.3
9,18,7.341,29.1
9,19,481.7,-287.5
9,20,669.4,-297.8
9,21,-191.69,286.28
9,22,-130.3,82.86
9,23,-354.55,552.1
9,24,-39.2,372
9,25,-119.8,518.4
9,26,137.5,-142.61
9,27,548.5,-101.5
9,28,216.138,303.657
9,29,-46.28,160.6
9,30,-163.7,317.5
9,31,71.46,135.4
9,32,53.59,138
9,33,245.2,-142.6
9,34,-65.229,-160.7
9,35,-44.58,110.4
9,37,-34.57,-40.9
9,39,-61.7,97.04
9,41,-18.8,123.4
9,42,-588.9,992.4
9,47,37.54,156.4
9,50,-162.6,278.8
9,51,70.16,-72.036
9,55,0.1619,341.49
9,56,132.28,18.074
9,57,536.92,-0.8632
9,60,646.47,649.52
9,61,7.6453,-119.69
9,62,679.19,1602.1
9,63,416.9,621
9,65,-320.9,-361.8
9,67,224.7,-46.78
10,11,-110.3,185.1
10,12,766,-236.5
10,13,304.1,-7.838
10,20,497.5,-165.5
10,21,751.9,-47.51
10,22,67.52,190.6
10,23,-483.7,242.8
10,32,117,245.9
10,36,-339.2,354
10,37,172.4,183.8
10,39,-268.8,13.89
10,41,-275.5,577.5
10,51,173.78,-2.6891
10,56,-162,340
10,57,415.9,867.5
10,60,1310.9,1455.7
10,62,-3401,-74.96
11,12,-241.8,1167
11,13,-235.7,461.3
11,15,-73.5,136
11,16,-196.7,2888.6001
11,17,475.5,-294.8
11,19,494.6,-266.6
11,20,660.2,-256.3
11,21,-34.74,35.38
11,22,108.85,-132.95
11,23,-209.66,176.45
11,24,54.57,129.49
11,25,442.4,-171.1
11,26,-81.13,129.3
11,28,183.046,243.775
11,30,202.25,-146.31
11,31,-101.7,152
11,32,148.3,21.92
11,33,18.88,24.37
11,34,1184.6,-327.44
11,35,52.08,41.57
11,36,-28.61,175.53
11,37,-275.2,611.3
11,39,85.33,-82.12
11,41,560.2,-234.9
11,47,151.8,-3.444
11,51,152.49,-132.47
11,56,818.72,-742.2
11,62,717.2,347
11,65,-385.6,31.83
11,74,-863.4,-269
11,85,39.903,-98.18
12,13,-234,457.3
12,18,-233.4,554.4
12,19,-47.25,99.37
12,20,-268.1,193.9
12,23,-126.2,235.6
12,24,179.7,351.9
12,25,24.28,383.3
12,29,103.9,201.5
12,37,-11.4,134.5
12,39,308.9,-116.7
12,41,-122.3,145.4
12,51,333,-189.89
12,56,-560.6,606.2
12,62,1892,1843
13,14,-78.36,222.1
13,15,251.5,-56.08
13,16,5422.2998,-194.1
13,18,213.2,-156.1
13,19,-18.51,38.81
13,20,664.6,-338.5
13,21,301.14,225.39
13,22,137.77,-197.71
13,23,-154.3,-20.93
13,24,47.67,113.9
13,25,134.8,-25.15
13,26,95.18,-94.49
13,28,140.896,112.382
13,29,-8.538,63.71
13,30,170.1,-87.31
13,31,-20.11,9.207
13,32,-149.5,476.6
13,33,-202.3,736.4
13,34,-177.71,-198.49
13,35,128.8,-93.51
13,37,240.2,-217.9
13,38,-273.95,167.3
13,39,254.8,-158.2
13,41,417,-247.8
13,42,1338,448.5
13,51,109.27,-28.097
13,55,322.12,-106.55
13,56,2795.3,-350.71
13,57,197.09,70.093
13,58,147.51,1986.8
13,60,3191.3,266.63
13,61,-96.1,-178.3
13,62,687.9,325.5
13,63,382.82,881.01
13,65,-568.5,-480.9
13,72,430.2,199.9
14,15,-107.2,127.4
14,16,-41.11,38.89
14,17,-200.7,-15.07
14,19,358.9,-157.3
14,21,-82.92,131.2
14,24,-99.81,261.1
14,25,30.05,108.5
14,29,-70.14,106.7
14,39,-164,49.7
14,42,-664.4,961.8
14,43,275.9,-125.2
14,55,43.048,49.145
14,62,997.2,607.2
15,16,-189.2,865.9
15,19,147.1,-108.5
15,24,71.23,91.13
15,25,-18.93,102.2
15,38,570.9,-198.8
15,41,-38.77,284.5
15,42,448.1,1464.2
15,43,-1327,1603.8
15,55,17.885,27.888
15,62,2378,1273
15,65,-628.26,-497.83
16,22,-73.85,-141.4
16,23,-352.9,-293.7
16,24,-262,316.9
16,25,-181.9,2951
16,35,243.1,-257.2
16,38,-196.312,116.478
16,39,22.05,-185.2
16,55,74.728,-45.258
16,62,1678,308.9
16,65,-935.4,-730.22
17,18,89.7,117.4
17,19,-281.6,777.4
17,20,-396,493.8
17,21,287,429.7
17,22,-111,140.8
17,24,882,898.2
17,25,617.5,334.9
17,27,-139.3,134.9
17,31,0.1004,192.3
17,39,-334.4,343.7
17,41,-89.42,-22.1
18,19,-169.67,134.28
18,20,-153.7,-313.5
18,22,-351.6,587.3
18,23,-114.73,18.98
18,24,-205.3,368.5
18,27,2845,2475
18,33,-60.78,-42.71
18,37,160.7,281.6
18,38,-158.8,159.8
18,50,-136.6,221.4
18,56,43.717,-109.83
18,57,208.55,226.85
18,60,337.77,132.98
18,62,634.45,-68.653
18,63,378,-28.75
18,65,-442.89,-369.7
18,85,0.0902,-75.338
19,21,4.933,54.32
19,22,-152.7,258.6
19,23,-15.62,74.04
19,24,-54.86,491.95
19,25,-4.624,363.5
19,26,-0.515,0.283
19,28,230.852,335.743
19,29,0.4604,161
19,31,177.5,169.6
19,33,-62.17,136.9
19,34,-203.02,329.12
19,36,81.57,-42.31
19,37,-55.77,335.2
19,39,-151.5,150.6
19,41,120.3,-61.6
19,47,16.23,119.2
19,55,-268.2,504.6
19,56,307.1,-231.3
19,58,434.74,-7.7389
19,62,891.7,-53.75
19,81,-245.39,188.14
20,21,13.41,519.1
20,22,-44.7,543.3
20,23,39.63,504.2
20,24,183.4,631
20,25,-79.08,993.4
20,30,-208.9,570.6
20,32,228.4,616.6
20,33,-95,5256
20,35,-463.6,-180.2
20,37,-11.16,898.2
20,39,-228,-97.77
20,41,-337,1179
20,46,-322.3,-70.25
20,56,73.859,50.349
20,57,1102.1,698.17
20,61,-85.001,671.59
20,63,301.76,-263.27
20,65,-150.5,197.5
20,74,-659.5,36.34
20,75,-500.1,-491.1
20,76,2051.6001,-549.4
21,22,108.31,-84.53
21,23,249.15,-157.1
21,24,62.42,11.8
21,25,153,-129.7
21,26,32.73,113
21,27,86.2,1971
21,28,450.088,-73.092
21,29,59.02,-27.94
21,33,344.4,-262.3
21,37,-168.2,383.2
21,41,63.67,182.2
21,51,31.401,-66.608
21,56,-6.3973,41.589
21,74,-42.71,-89.89
21,75,-73.25,-35.08
22,23,0,0
22,24,56.33,17.97
22,25,223.1,-8.309
22,26,108.9,-9.639
22,32,177.6,-40.82
22,33,315.9,-174.5
22,35,215,-215
22,37,-91.8,301.9
22,41,-96.87,305.4
22,47,361.1,-194.7
22,56,337.09,-132.38
22,63,284.02,288.17
22,74,20.5,-77.94
22,75,69.71,-65.42
23,24,-30.1,51.9
23,25,192.1,-0.2266
23,28,116.612,-26.058
23,30,-64.38,48.484
23,32,86.4,21.76
23,35,363.7,-343.6
23,37,111.2,-149.8
23,41,255.8,-193
23,44,-35.68,-196.2
23,48,565.9,-363.1
23,51,126.47,-291.14
23,55,-237.66,709.31
23,56,128.3,-29.29
23,65,366.7,-54.69
23,75,53.86,-50.14
23,76,92.002,-17.588
23,85,81.611,-36.23
24,25,-75.97,248.4
24,26,490.88,-34.68
24,27,534.7,514.6
24,28,132.2,-60.71
24,30,546.68,-133.16
24,32,247.8,48.49
24,33,146.6,77.55
24,34,222.38,195.84
24,35,337.7,-58.43
24,36,369.49,-85.148
24,37,187.1,-134.2
24,38,215.2,-124.6
24,39,498.6,-186.7
24,41,256.5,335.7
24,43,233.1,70.81
24,47,423.1,3.163
24,48,63.95,-11.3
24,50,108.5,-79.34
24,51,259.39,-43.834
24,59,-191.54,378.87
24,62,589.06,290.17
24,74,220.2,-60.5
24,75,65.79,29.53
24,76,-80.976,323.47
24,80,-34.521,236.96
25,26,132.7,132.9
25,27,2213,-123.1
25,33,593.4,-185.3
25,41,-71.18,956.1
25,44,-209.7,161.5
25,47,434.1,7.082
25,55,347.79,152.67
25,56,299,-78.4
25,61,69.383,157.35
25,62,477.45,17.6
25,75,180.5,78.05
25,76,537.5,-105.78
26,27,533.2,-85.12
26,28,320.2,277.8
26,31,139.822,481.348
26,32,304.3,64.28
26,33,10.17,125.3
26,34,-27.701,174.433
26,37,10.76,379.4
26,39,-223.1,223.6
26,41,248.4,-124.7
26,45,-218.9,844
26,50,-4.565,176.3
27,32,2990,2448
27,33,-124,4288
27,65,-115.1,359.3
27,75,256,-79.88
28,29,0,0
28,32,292.7,-27.45
28,37,-47.37,167.9
28,41,469.8,885.5
28,45,130.13,446.14
28,48,0,0
28,56,575.8,276.4
28,57,214.1,42.987
28,61,162.98,14.907
28,62,774.56,353.99
28,77,0,0
29,35,31.66,85.7
29,39,78.92,-71
29,44,1004.2,-274.1
29,48,-18.27,6.971
29,57,338.87,26.901
29,61,-0.1486,87.264
29,77,0,0
30,41,43.37,-64.28
30,56,405.1,-168.2
31,35,-417.2,535.8
31,39,302.2,-191.7
31,41,347.8,-264.3
31,44,-262,262
31,47,-353.5,515.8
31,51,137.27,156.35
31,56,52.1,1985
31,57,283.8,1390
31,60,1390.3,-150.8
31,61,521.38,-186.4
31,62,1158,135.7
32,41,68.55,288.1
33,35,32.9,-111.2
33,41,-195.1,627.7
33,56,100.31,39.267
33,74,-23.91,-80.8
34,35,137.4,-121
34,37,2073.2,631.5
34,39,-119.8,6.699
34,44,-22.589,-125.98
34,55,32.648,-173.86
34,56,-10.699,-9.775
35,39,-97.71,136.6
35,41,153.7,-29.34
36,37,-208.8,837.2
36,39,-8.804,5.15
36,41,423.4,-53.91
36,81,8.7996,-67.392
37,39,255,-137.7
37,41,730.8,-198
37,44,26.35,-66.31
37,48,-32.1039,83.4508
37,55,713.9,-547.63
37,65,365.54,-43.958
38,40,-117.17,185.6
38,83,37.65,-4.7649
39,40,-5.579,55.8
39,41,72.31,-28.65
39,56,360.1,-213.9
39,57,400.7,-106.8
39,60,616.3,-86.3
39,62,641.6,366.1
39,65,-1013.7,165.65
39,67,-52.82,260.3
40,45,111.8,-32.17
40,56,332.65,-213.34
40,59,-338.3,705.6
40,62,330.73,136.8
40,68,-74.07,516.7
40,72,250.2,65.97
40,73,1204,86.243
40,83,288.2,-158.17
41,47,122.4,101.2
41,56,183.65,-5.8025
42,43,-2166,745.3
43,60,0,0
43,74,0,0
44,56,-209.22,57.144
44,57,204.8,52.71
44,60,456.4,113.21
44,61,-94.959,-164.86
44,62,826.49,14.904
44,63,767.11,373.02
44,65,-233.85,-382.92
45,56,95.548,-30.027
45,57,349,-186.9
45,59,384.2,-193.1
45,60,-255.14,209.42
45,62,598.8,-78.75
45,68,-81.7,250.5
45,69,285.4,-62.4
45,74,356,-148.9
46,56,316.9,-174
46,61,121.9,-363.4
46,65,-667.3,-137.8
47,51,211.09,-241.64
47,56,355.5,-167.1
47,57,369.7,76.05
47,61,330.8,-240
47,62,1177,-27.1
48,57,350.68,146.01
48,61,-151.94,-20.807
48,77,0,0
50,62,200.48,-361.75
51,56,-1329.9,531.64
51,57,29.477,444.81
51,60,43.461,-3.2734
51,62,762.73,528.38
51,72,208.66,234.81
55,56,-1397.6,-1361.7
55,57,1080.3,4278.7002
55,59,590.21,1453.4
55,60,973.45,1900
55,62,1339,1893.1
55,70,1369.3,-144.22
55,72,259.1,522.6
56,57,73.563,196.16
56,58,208.14,32.043
56,59,568.2,-201.6
56,60,-580.82,694.28
56,61,78.98,114.96
56,62,838.06,3048.8999
56,63,161.54,4.2038
56,65,180.2,69.85
56,67,-108.91,144.4
56,68,38.274,198.92
56,69,565.2,55.66
56,79,234.93,109.11
57,59,17.425,11.868
57,60,64.108,11.865
57,61,511.99,278.1
57,62,253.92,128.55
57,63,62.419,1.6233
57,65,44.22,394.7
57,67,-27.596,211.01
57,69,364.3,-2897
57,71,14.38,-5.56
57,77,271.31,-103.94
57,83,72.986,142.06
58,59,-7.7202,32.631
58,60,-23.358,44.349
58,67,535.78,-1101.9
58,69,449.9418,-162.7075
58,70,130.5,153.8
58,71,43.11,40.49
58,84,448.22,373.66
59,60,11.986,2.1214
59,62,190.87,4196.2002
59,63,64.1,-18.703
59,69,217.2,4536
59,70,120.5,209.3
59,71,-21.61,54.02
59,83,97.117,-58.35
60,61,862.84,648.2
60,62,77.701,247.42
60,63,25.06,6.423
60,65,-37.18,1287
60,66,412.6,140.9
60,67,-112.9,558.3
60,69,154.6,319.7
60,70,69.59,67.28
60,71,110.3,-19.7
60,83,19.597,85.38
61,62,628,137
61,63,665.7,116.97
61,77,75.68,229.32
62,63,863.18,494.67
62,65,276.4,863.2
62,69,62.017,372
62,83,166.92,522.68
63,69,203.4,177.9
65,74,-112.6,18.86
65,79,308.78,471.48
66,71,353,593.3
66,82,4516.5,-3859.3
67,68,0.792,280.06
67,69,607.5,44.3
67,72,101.9,209.8
67,74,-27.216,76.955
68,83,-243.01,534.14
69,70,44.729,109.55
69,78,168.03,273.45
70,71,145.2,160.53
70,72,1731.3,366.81
71,72,278.6,-121.3
72,74,218.8,184
73,74,169.99,613.1
73,78,158.2,630.21
73,79,515.25,783.19
74,79,2.0069,132
79,85,584.43,-205.3
